Date,Rain
30-01-2013,1406
31-01-2013,1381
01-02-2013,1359
02-02-2013,1338
03-02-2013,1316
04-02-2013,1293
05-02-2013,1272
06-02-2013,1250
07-02-2013,1232
08-02-2013,1213
09-02-2013,1195
10-02-2013,1177
11-02-2013,1160
12-02-2013,1143
13-02-2013,1124
14-02-2013,1104
15-02-2013,1084
16-02-2013,1067
17-02-2013,1103
18-02-2013,1127
19-02-2013,1138
20-02-2013,1128
21-02-2013,1116
22-02-2013,1104
23-02-2013,1090
24-02-2013,1077
25-02-2013,1062
26-02-2013,1045
27-02-2013,1027
28-02-2013,1007
01-03-2013,986
02-03-2013,966
03-03-2013,944
04-03-2013,919
05-03-2013,894
06-03-2013,868
07-03-2013,891
08-03-2013,871
09-03-2013,850
10-03-2013,829
11-03-2013,807
12-03-2013,786
13-03-2013,786
14-03-2013,741
15-03-2013,718
16-03-2013,697
17-03-2013,679
18-03-2013,661
19-03-2013,641
20-03-2013,617
21-03-2013,593
22-03-2013,572
23-03-2013,553
24-03-2013,534
25-03-2013,512
26-03-2013,491
27-03-2013,469
28-03-2013,446
29-03-2013,425
30-03-2013,401
31-03-2013,406
01-04-2013,411
02-04-2013,416
03-04-2013,422
04-04-2013,427
05-04-2013,432
06-04-2013,437
07-04-2013,441
08-04-2013,444
09-04-2013,446
10-04-2013,446
11-04-2013,445
12-04-2013,444
13-04-2013,443
14-04-2013,441
15-04-2013,439
16-04-2013,437
17-04-2013,434
18-04-2013,432
19-04-2013,430
20-04-2013,428
21-04-2013,426
22-04-2013,423
23-04-2013,421
24-04-2013,419
25-04-2013,417
26-04-2013,415
27-04-2013,412
28-04-2013,410
29-04-2013,408
30-04-2013,406
01-05-2013,404
02-05-2013,401
03-05-2013,399
04-05-2013,397
05-05-2013,395
06-05-2013,393
07-05-2013,391
08-05-2013,388
09-05-2013,386
10-05-2013,384
11-05-2013,382
12-05-2013,380
13-05-2013,378
14-05-2013,376
15-05-2013,373
16-05-2013,371
17-05-2013,369
18-05-2013,367
19-05-2013,365
20-05-2013,363
21-05-2013,361
22-05-2013,359
23-05-2013,356
24-05-2013,354
25-05-2013,352
26-05-2013,349
27-05-2013,347
28-05-2013,345
29-05-2013,343
30-05-2013,341
31-05-2013,339
01-06-2013,337
02-06-2013,335
03-06-2013,333
04-06-2013,331
05-06-2013,329
06-06-2013,327
07-06-2013,325
08-06-2013,323
09-06-2013,321
10-06-2013,319
11-06-2013,317
12-06-2013,315
13-06-2013,312
14-06-2013,309
15-06-2013,305
16-06-2013,301
17-06-2013,296
18-06-2013,291
19-06-2013,286
20-06-2013,282
21-06-2013,277
22-06-2013,271
23-06-2013,265
24-06-2013,259
25-06-2013,253
26-06-2013,247
27-06-2013,241
28-06-2013,235
29-06-2013,229
30-06-2013,224
01-07-2013,219
02-07-2013,214
03-07-2013,209
04-07-2013,205
05-07-2013,201
06-07-2013,199
07-07-2013,197
08-07-2013,195
09-07-2013,187
10-07-2013,177
11-07-2013,176
12-07-2013,170
13-07-2013,167
14-07-2013,165
15-07-2013,158
16-07-2013,160
17-07-2013,150
18-07-2013,145
19-07-2013,139
20-07-2013,139
21-07-2013,133
22-07-2013,135
23-07-2013,146
24-07-2013,158
25-07-2013,163
26-07-2013,168
27-07-2013,174
28-07-2013,180
29-07-2013,186
30-07-2013,192
31-07-2013,197
01-08-2013,198
02-08-2013,199
03-08-2013,200
04-08-2013,205
05-08-2013,201
06-08-2013,191
07-08-2013,187
08-08-2013,185
09-08-2013,184
10-08-2013,188
11-08-2013,190
12-08-2013,197
13-08-2013,201
14-08-2013,210
15-08-2013,247
16-08-2013,260
17-08-2013,286
18-08-2013,295
19-08-2013,300
20-08-2013,306
21-08-2013,309
22-08-2013,311
23-08-2013,313
24-08-2013,315
25-08-2013,315
26-08-2013,315
27-08-2013,315
28-08-2013,310
29-08-2013,300
30-08-2013,317
31-08-2013,312
01-09-2013,307
02-09-2013,301
03-09-2013,298
04-09-2013,322
05-09-2013,327
06-09-2013,322
07-09-2013,315
08-09-2013,307
09-09-2013,298
10-09-2013,289
11-09-2013,319
12-09-2013,357
13-09-2013,380
14-09-2013,402
15-09-2013,411
16-09-2013,409
17-09-2013,404
18-09-2013,398
19-09-2013,402
20-09-2013,400
21-09-2013,395
22-09-2013,395
23-09-2013,389
24-09-2013,378
25-09-2013,367
26-09-2013,359
27-09-2013,351
28-09-2013,348
29-09-2013,343
30-09-2013,334
01-10-2013,329
02-10-2013,319
03-10-2013,309
04-10-2013,308
05-10-2013,297
06-10-2013,285
07-10-2013,273
08-10-2013,263
09-10-2013,251
10-10-2013,259
11-10-2013,257
12-10-2013,251
13-10-2013,240
14-10-2013,230
15-10-2013,220
16-10-2013,209
17-10-2013,202
18-10-2013,197
19-10-2013,188
20-10-2013,188
21-10-2013,200
22-10-2013,225
23-10-2013,239
24-10-2013,249
25-10-2013,251
26-10-2013,298
27-10-2013,337
28-10-2013,384
29-10-2013,428
30-10-2013,452
31-10-2013,455
01-11-2013,457
02-11-2013,454
03-11-2013,445
04-11-2013,434
05-11-2013,683
06-11-2013,413
07-11-2013,402
08-11-2013,392
09-11-2013,382
10-11-2013,374
11-11-2013,364
12-11-2013,357
13-11-2013,349
14-11-2013,341
15-11-2013,334
16-11-2013,322
17-11-2013,376
18-11-2013,550
19-11-2013,653
20-11-2013,709
21-11-2013,729
22-11-2013,733
23-11-2013,730
24-11-2013,725
25-11-2013,747
26-11-2013,757
27-11-2013,764
28-11-2013,770
29-11-2013,763
30-11-2013,753
01-12-2013,747
02-12-2013,737
03-12-2013,724
04-12-2013,705
05-12-2013,683
06-12-2013,664
07-12-2013,644
08-12-2013,623
09-12-2013,601
10-12-2013,575
11-12-2013,550
12-12-2013,530
13-12-2013,515
14-12-2013,493
15-12-2013,470
16-12-2013,449
17-12-2013,427
18-12-2013,405
19-12-2013,381
20-12-2013,359
21-12-2013,335
22-12-2013,311
23-12-2013,287
24-12-2013,270
25-12-2013,251
26-12-2013,232
27-12-2013,214
28-12-2013,199
29-12-2013,184
30-12-2013,172
31-12-2013,160
01-01-2014,147
02-01-2014,138
03-01-2014,129
04-01-2014,122
05-01-2014,460
06-01-2014,111
07-01-2014,107
08-01-2014,104
09-01-2014,101
10-01-2014,98
11-01-2014,96
12-01-2014,94
13-01-2014,93
14-01-2014,95
15-01-2014,100
16-01-2014,104
17-01-2014,109
18-01-2014,117
19-01-2014,123
20-01-2014,129
21-01-2014,134
22-01-2014,138
23-01-2014,147
24-01-2014,158
25-01-2014,165
26-01-2014,174
27-01-2014,187
28-01-2014,202
29-01-2014,218
30-01-2014,232
31-01-2014,244
01-02-2014,254
02-02-2014,268
03-02-2014,287
04-02-2014,308
05-02-2014,336
06-02-2014,428
